word,phonetic,partOfSpeech,definition,example
automation/,ˌɔːtəˈmeɪʃn/,n.,自动化，自动操作,Automation has replaced many workers.
automobile/,ˈɔːtəməbiːl/,n.,汽车，机动车,He bought a new automobile.
autonomy,/ɔːˈtɒnəmi/,n.,自治，自治权,The region has autonomy.
auxiliary,/ɔːɡˈzɪliəri/,adj./n.,辅助的，辅助者,The hospital has auxiliary staff.
available,/əˈveɪləbl/,adj.,可利用的，可见到的,The room is available.
avenue,/ˈævənjuː/,n.,大街，途径,Fifth Avenue is famous.
average,/ˈævərɪdʒ/,adj./n./v.,平均的，平均数,The average temperature is 20°C.
avert,/əˈvɜːt/,vt./vi.,防止，避免,He averted an accident.
aviation/,ˌeɪviˈeɪʃn/,n.,航空，航空学,He works in aviation.
avoid,/əˈvɔɪd/,vt./vi.,避免，消除,You should avoid smoking.
await,/əˈweɪt/,vt./vi.,等候，期待,I await your reply.
awake,/əˈweɪk/,adj./vt./vi.,醒着的，唤醒,He was awake all night.
award,/əˈwɔːd/,n./vt.,奖，奖品，授予,He won an award.
aware,/əˈweə/,adj.,意识到的，知道的,I am aware of the problem.
away,/əˈweɪ/,adv./adj.,离开，远离,He is away on business.
awesome,/ˈɔːsəm/,adj.,令人敬畏的，极好的,The view is awesome.
awful,/ˈɔːfl/,adj./adv.,可怕的，非常的,The weather is awful.
awkward,/ˈɔːkwəd/,adj.,尴尬的，笨拙的,He felt awkward at the party.
axe,/æks/,n./vt.,斧子，削减,He used an axe to cut wood.
axis,/ˈæksɪs/,n.,轴，轴线,The earth rotates on its axis.
bachelor,/ˈbætʃələ/,n.,单身汉，学士,He is a bachelor of arts.
background,/ˈbækɡraʊnd/,n.,背景，后台,She has a background in music.
backward,/ˈbækwəd/,adv./adj.,向后，落后的,He looked backward.
bacon,/ˈbeɪkən/,n.,咸肉，熏肉,I like bacon and eggs.
bacterium,/bækˈtɪəriəm/,n.,细菌,Bacteria can cause disease.
badge,/bædʒ/,n.,徽章，标志,He wore a police badge.
badly,/ˈbædli/,adv.,坏，严重地,He was badly injured.
badminton,/ˈbædmɪntən/,n.,羽毛球,They played badminton.
baggage,/ˈbæɡɪdʒ/,n.,行李,Please check your baggage.
bake,/beɪk/,vt./vi./n.,烤，烘,She baked a cake.
bakery,/ˈbeɪkəri/,n.,面包房,The bakery sells fresh bread.
balance,/ˈbæləns/,vt./n.,平衡，余额,Please balance the checkbook.
balcony,/ˈbælkəni/,n.,阳台,The balcony has a nice view.
bald,/bɔːld/,adj.,秃头的,He is going bald.
ball,/bɔːl/,n.,球，舞会,They played ball.
ballet,/ˈbæleɪ/,n.,芭蕾舞,She studies ballet.
balloon,/bəˈluːn/,n.,气球,The balloon floated away.
ballot,/ˈbælət/,n./vi.,选票，投票,They cast a ballot.
bamboo,/bæmˈbuː/,n.,竹子,Pandas eat bamboo.
ban,/bæn/,vt./n.,禁止，禁令,Smoking is banned here.
banana,/bəˈnɑːnə/,n.,香蕉,Monkeys like bananas.
band,/bænd/,n./vt.,带，乐队，结合,The band played music.
bandage,/ˈbændɪdʒ/,n./vt.,绷带，包扎,She bandaged his wound.
bang,/bæŋ/,n./vi./vt.,巨响，猛击,The door banged shut.
bank,/bæŋk/,n./vi.,银行，岸，存钱,I went to the bank.
bankrupt,/ˈbæŋkrʌpt/,adj./n./vt.,破产的，破产者,The company went bankrupt.
banner,/ˈbænə/,n.,旗帜，横幅,They hung a banner.
banquet,/ˈbæŋkwɪt/,n./vt.,宴会，宴请,They attended a banquet.
bar,/bɑː/,n./vt.,条，棒，酒吧，阻挡,He sat at the bar.
barber,/ˈbɑːbə/,n.,理发师,The barber cut his hair.
bare,/beə/,adj./vt.,赤裸的，露出,He walked barefoot.
bargain,/ˈbɑːɡɪn/,n./vi.,便宜货，讨价还价,It's a real bargain.
bark,/bɑːk/,vi./n.,吠叫，树皮,The dog barked.
barn,/bɑːn/,n.,谷仓，牲口棚,The farmer has a barn.
barrel,/ˈbærəl/,n.,桶,The barrel contains oil.
barren,/ˈbærən/,adj.,贫瘠的，不育的,The land is barren.
barrier,/ˈbæriə/,n.,障碍，屏障,Language is a barrier.
base,/beɪs/,n./vt./adj.,基础，基地，卑鄙的,The base of the statue is stone.
baseball,/ˈbeɪsbɔːl/,n.,棒球,They played baseball.
basement,/ˈbeɪsmənt/,n.,地下室,The basement is damp.
basic,/ˈbeɪsɪk/,adj./n.,基本的，基础,These are basic skills.
basin,/ˈbeɪsn/,n.,盆，流域,The basin is filled with water.
basis,/ˈbeɪsɪs/,n.,基础，根据,On the basis of facts.
basket,/ˈbɑːskɪt/,n.,篮子，一篮,She bought a basket of fruit.
basketball/,ˈbɑːskɪtbɔːl/,n.,篮球,They played basketball.
bat,/bæt/,n./vt./vi.,蝙蝠，球拍，拍打,He used a bat.
batch,/bætʃ/,n./adj.,一批，分批的,We baked a batch of cookies.
bath,/bɑːθ/,n./vt./vi.,浴，洗澡,He took a bath.
bathe,/beɪð/,vt./vi.,给...洗澡，游泳,She bathed the baby.
bathroom,/ˈbɑːθruːm/,n.,浴室，卫生间,The bathroom is clean.
battery,/ˈbætri/,n.,电池,The battery is dead.
battle,/ˈbætl/,n./vi.,战斗，斗争,They won the battle.
bay,/beɪ/,n.,湾，海湾,The ship entered the bay.
beach,/biːtʃ/,n.,海滩,They went to the beach.
beam,/biːm/,n./vi.,梁，光束，微笑,The sun beam is bright.
bean,/biːn/,n.,豆，豆科植物,She likes green beans.
bear,/beə/,n./vt.,熊，忍受，承担,The bear is dangerous.
beard,/bɪəd/,n.,胡须,He has a beard.
beast,/biːst/,n.,兽，牲畜,The beast was fierce.
beat,/biːt/,vt./vi./n.,打，敲，打败,He beat the drum.
beautiful,/ˈbjuːtɪfl/,adj.,美丽的，漂亮的,She is beautiful.
beauty,/ˈbjuːti/,n.,美，美人,Beauty is in the eye of the beholder.
because,/bɪˈkɒz/,conj.,因为,I stayed home because I was sick.
become,/bɪˈkʌm/,vi./vt.,变成，成为,He became a doctor.
bed,/bed/,n.,床,He went to bed.
bee,/biː/,n.,蜜蜂,The bee makes honey.
beef,/biːf/,n.,牛肉,We had beef for dinner.
beer,/bɪə/,n.,啤酒,He drank a beer.
beetle,/ˈbiːtl/,n.,甲虫,The beetle crawled on the leaf.
before,/bɪˈfɔː/,prep./adv./conj.,在...之前,He arrived before me.
beg,/beɡ/,vt./vi.,乞求，请求,He begged for money.
begin,/bɪˈɡɪn/,vt./vi.,开始,Let's begin the meeting.
beginning,/bɪˈɡɪnɪŋ/,n.,开始，开端,The beginning of the story was interesting.
behalf,/bɪˈhɑːf/,n.,利益，方面,On behalf of the company.
behave,/bɪˈheɪv/,vi./vt.,举止，表现,He behaved well.
behavior,/bɪˈheɪvjə/,n.,行为，举止,His behavior was unacceptable.
behind,/bɪˈhaɪnd/,prep./adv.,在...后面,He stood behind the tree.
being,/ˈbiːɪŋ/,n./v.,存在，生物，存在,Human beings are complex.
belief,/bɪˈliːf/,n.,相信，信念,His belief is strong.
believe,/bɪˈliːv/,vt./vi.,相信，认为,I believe you.
bell,/bel/,n.,铃，钟,The bell rang.
belly,/ˈbeli/,n.,肚子，腹部,He has a big belly.
belong,/bɪˈlɒŋ/,vi.,属于，应归入,This book belongs to me.
beloved,/bɪˈlʌvd/,adj./n.,被热爱的，爱人,She is his beloved wife.
below,/bɪˈləʊ/,prep./adv.,在...下面,The temperature is below zero.
belt,/belt/,n./vt.,带，腰带，系带,He wore a leather belt.
bench,/bentʃ/,n.,长凳，工作台,He sat on the bench.
bend,/bend/,vt./vi./n.,弯曲，弯腰,Don't bend the rules.
beneath,/bɪˈniːθ/,prep./adv.,在...下方,The ground beneath his feet.
beneficial/,ˌbenɪˈfɪʃl/,adj.,有利的，有益的,Exercise is beneficial to health.
benefit,/ˈbenɪfɪt/,n./vt./vi.,利益，受益,The benefit is obvious.
bent,/bent/,adj./n.,弯曲的，倾向,He has a bent for music.
berry,/ˈberi/,n.,浆果,She picked berries.
beside,/bɪˈsaɪd/,prep.,在...旁边,He sat beside her.
besides,/bɪˈsaɪdz/,prep./adv.,除...之外,Besides English, he speaks French.
best,/best/,adj./adv./n.,最好的，最好地,This is the best restaurant.
bet,/bet/,vt./vi./n.,打赌，赌注,I bet you can't do it.
betray,/bɪˈtreɪ/,vt./vi.,背叛，泄露,He betrayed his country.
better,/ˈbetə/,adj./adv./v./n.,较好的，更好地,The situation is better.
between,/bɪˈtwiːn/,prep./adv.,在...之间,Choose between the two options.
beyond,/bɪˈjɒnd/,prep./adv.,在...那边，超出,The house is beyond the hill.
bias,/ˈbaɪəs/,n./vt.,偏见，偏心,He has a bias against foreigners.
bible,/ˈbaɪbl/,n.,圣经,The Bible is a holy book.
bibliography/,ˌbɪbliˈɒɡrəfi/,n.,书目，参考书目,Include a bibliography.
bicycle,/ˈbaɪsɪkl/,n.,自行车,He rides a bicycle to work.
bid,/bɪd/,vt./n./vi.,出价，投标,He bid $100 for the item.
big,/bɪɡ/,adj.,大的,It's a big house.
bike,/baɪk/,n.,自行车,He bought a new bike.
bill,/bɪl/,n.,账单，法案，钞票,Please pay the bill.
billion,/ˈbɪljən/,n./adj.,十亿,The population is over one billion.
bind,/baɪnd/,vt./vi.,捆绑，结合,Bind the books together.
biology,/baɪˈɒlədʒi/,n.,生物学,She studies biology.
bird,/bɜːd/,n.,鸟,The bird flew away.
birth,/bɜːθ/,n.,出生，诞生,His birth was celebrated.
birthday,/ˈbɜːθdeɪ/,n.,生日,Happy birthday!
biscuit,/ˈbɪskɪt/,n.,饼干,She ate a biscuit.
bit,/bɪt/,n./adv.,一点，少许,Wait a bit.
bite,/baɪt/,vt./vi./n.,咬，叮,The dog bit him.
bitter,/ˈbɪtə/,adj./n.,苦的，痛苦的,The medicine is bitter.
black,/blæk/,adj./n.,黑色的，黑色,He wore a black suit.
blackboard/,ˈblækbɔːd/,n.,黑板,The teacher wrote on the blackboard.
blade,/bleɪd/,n.,刀刃，叶片,The blade is sharp.
blame,/bleɪm/,vt./n.,责备，过失,Don't blame me.
blank,/blæŋk/,adj./n.,空白的，空白,Please fill in the blank.
blanket,/ˈblæŋkɪt/,n.,毯子,The blanket is warm.
blast,/blɑːst/,n./vt.,爆炸，冲击波,There was a loud blast.
blaze,/bleɪz/,n./vi./vt.,火焰，闪耀,The fire blazed brightly.
bleak,/bliːk/,adj.,荒凉的，凄凉的,The future looks bleak.
bleed,/bliːd/,vi./vt.,流血，出血,His nose is bleeding.
blend,/blend/,vt./vi./n.,混合，融合,Blend the ingredients.
bless,/bles/,vt./vi./n.,保佑，祝福,God bless you.
blind,/blaɪnd/,adj./vt./n.,盲的，使失明，百叶窗,He is blind in one eye.
block,/blɒk/,n./vt.,块，街区，阻塞,The street is blocked.
blood,/blʌd/,n.,血，血液,He lost a lot of blood.
bloom,/bluːm/,n./vi.,花，开花,The flowers are in bloom.
blossom,/ˈblɒsəm/,n./vi.,花，开花,The cherry blossoms are beautiful.
blouse,/blaʊz/,n.,女衬衫,She wore a silk blouse.
blow,/bləʊ/,vi./vt./n.,吹，吹气,The wind blew hard.
blue,/bluː/,adj./n.,蓝色的，蓝色,The sky is blue.
blur,/blɜː/,vt./vi./n.,使模糊，污迹,The photo is blurry.
board,/bɔːd/,n./vt.,板，董事会，上船,He boarded the train.
boast,/bəʊst/,vi./vt./n.,自夸，夸耀,He boasted about his wealth.
boat,/bəʊt/,n.,小船，艇,They went fishing in a boat.
body,/ˈbɒdi/,n.,身体，主体,Take care of your body.
boil,/bɔɪl/,vi./vt./n.,沸腾，煮沸,Water boils at 100°C.
boiler,/ˈbɔɪlə/,n.,锅炉,The boiler heats the house.
bold,/bəʊld/,adj.,大胆的，粗体的,He made a bold decision.
bolt,/bəʊlt/,n./vt./vi.,螺栓，插销，闩上,Secure the door with a bolt.
bomb,/bɒm/,n./vt.,炸弹，轰炸,The bomb exploded.
bond,/bɒnd/,n./vt.,结合，债券，粘合,The bond between them is strong.
bone,/bəʊn/,n.,骨，骨骼,He broke a bone.
book,/bʊk/,n./vt.,书，预订,Please book a hotel room.
boom,/buːm/,n./vi./vt.,繁荣，激增,The economy is booming.
boost,/buːst/,vt./n.,促进，增加，提升,The new policy boosted sales.
boot,/buːt/,n.,靴子,He wore leather boots.
